CAS,EcoRecID,ModelCode,Value,RefID,Comment,UserModified,userComment,DoNotShowValue
7440622,28,BMD,4.3,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,28,BMD,220,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,28,BMD,0.7,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,28,BMD,1600,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,28,BMD,5.3,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,28,BMD,90,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,28,BMD,18,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,30,BMD,4.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,30,BMD,88,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,30,BMD,79,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,30,BMD,8.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,30,BMD,11,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,30,BMD,420,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,30,BMD,3.3,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,30,BMD,1.1,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,30,BMD,2.2,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,30,BMD,34,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,30,BMD,0.06,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,30,BMD,39,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,30,BMD,0.1,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,30,BMD,6.1,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,30,BMD,130,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,30,BMD,1.5,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,30,BMD,130,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,30,BMD,2,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,30,BMD,18,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,30,BMD,58,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,30,BMD,6.3,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,30,BMD,330,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,30,BMD,1,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,30,BMD,2400,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,30,BMD,7.7,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,30,BMD,130,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,30,BMD,26,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,32,BMD,2,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,32,BMD,41,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,32,BMD,37,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,32,BMD,3.9,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,32,BMD,5.3,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,32,BMD,190,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,32,BMD,1.5,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,32,BMD,0.5,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,32,BMD,1,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,32,BMD,16,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,32,BMD,0.03,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,32,BMD,18,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,32,BMD,0.07,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,32,BMD,2.8,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,32,BMD,60,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,32,BMD,0.7,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,32,BMD,60,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,32,BMD,0.9,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,32,BMD,8.2,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,32,BMD,27,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,32,BMD,2.9,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,32,BMD,150,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,32,BMD,0.4,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,32,BMD,1100,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,32,BMD,3.6,262,test species: Pig,FALSE,test species: Pig,FALSE
7440020,,BAF_SmMammals,0.25,124,"Table 7, general, median",FALSE,,FALSE
7440020,,BAF_SoilInvert,0.464,87,"Table 2, P90 (dataset=all), adjust for 80% moisture content to convert from dry to wet wt; data are for benthic organisms used as surrogate for soil",FALSE,,FALSE
7440020,,BAF_Worms,0.17,123,"Table 11, median, adjust for 84% moisture content to convert from dry to wet wt",FALSE,,FALSE
7440020,1,BMC_Soil,38,266,,FALSE,,FALSE
7440020,58,BMC_Soil,280,266,,FALSE,,FALSE
7440020,67,BMC_Soil,130,266,,FALSE,,FALSE
7440020,68,BMC_Soil,210,266,,FALSE,,FALSE
298464,65,ED_Eco,4,110,,FALSE,,FALSE
114078,65,ED_Eco,1,103,,FALSE,,FALSE
25812300,65,ED_Eco,4,118,,FALSE,,FALSE
7440235,,BAF_HerbVert,61.8,124,"Table C.1, general, median",FALSE,,FALSE
7440235,,BAF_OmnVert,61.8,124,"Table C.1, general, median",FALSE,,FALSE
7440235,,BAF_SmBirds,61.8,124,"Table C.1, general, median",FALSE,,FALSE
7440235,,BAF_SmHerp,61.8,124,"Table C.1, general, median",FALSE,,FALSE
7440235,,BAF_SmMammals,61.8,124,"Table C.1, general, median",FALSE,,FALSE
7440235,,BAF_SoilInvert,0,196,No data,FALSE,,FALSE
7440235,,BAF_Worms,0.692,123,"Table C.1, median, adjust for 84% moisture content to convert from dry to wet wt",FALSE,,FALSE
7440280,,BAF_HerbVert,0.11,124,"Table 7, general, median",FALSE,,FALSE
7440280,,BAF_OmnVert,0.11,124,"Table 7, general, median",FALSE,,FALSE
298464,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
16984488,32,BMD,62,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,32,BMD,12,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,35,BMD,3.5,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,35,BMD,71,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,35,BMD,63,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,35,BMD,6.7,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,35,BMD,9.2,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,35,BMD,340,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,35,BMD,2.6,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,35,BMD,0.9,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,35,BMD,1.8,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,35,BMD,27,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,35,BMD,0.05,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,35,BMD,31,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,35,BMD,0.1,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,35,BMD,4.9,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,35,BMD,100,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,35,BMD,1.2,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,35,BMD,100,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,35,BMD,1.6,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,35,BMD,14,263,test species: Rat,FALSE,test species: Rat,FALSE
298464,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
298464,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
298464,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
298464,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_HerbVert,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_OmnVert,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
564250,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_HerbVert,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_OmnVert,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
723466,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_Herbvert,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_OmnVert,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
1163195,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
7440439,59,BMC_Water,0.00072,74,,FALSE,,FALSE
16065831,59,BMC_Water,0.074,74,,FALSE,,FALSE
18540299,59,BMC_Water,0.011,74,,FALSE,,FALSE
7439896,59,BMC_Water,1,74,,FALSE,,FALSE
7439921,59,BMC_Water,0.0025,74,,FALSE,,FALSE
7440020,59,BMC_Water,0.052,74,,FALSE,,FALSE
298464,60,BMC_Water,35.4,106,,FALSE,,FALSE
51481619,60,BMC_Water,100,106,,FALSE,,FALSE
42399417,60,BMC_Water,15,106,,FALSE,,FALSE
114078,60,BMC_Water,349,78,,FALSE,,FALSE
54910893,60,BMC_Water,0.01,109,,FALSE,,FALSE
91576,60,BMC_Water,1.46,105,,FALSE,,FALSE
70458967,60,BMC_Water,1000,108,,FALSE,,FALSE
3380345,,BAF_Herbvert,1,143,"Default, no data",FALSE,,FALSE
7440382,68,BMC_Soil,43,252,,FALSE,,FALSE
7440382,67,BMC_Soil,46,252,,FALSE,,FALSE
7440382,1,BMC_Soil,18,252,,FALSE,,FALSE
7440393,67,BMC_Soil,2000,253,,FALSE,,FALSE
3380345,,BAF_OmnVert,1,143,"Default, no data",FALSE,,FALSE
3380345,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
3380345,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
7440508,35,BMD,47,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,35,BMD,5.1,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,35,BMD,270,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7487947,,BCF_Bff,1600000,38,BAF_T3W used as surrogate,FALSE,,FALSE
7439976,,BCF_Bff,0,25,BAF_T3W used as surrogate,FALSE,,FALSE
7429905,,BCF_Bff,36,17,BAF_T3W used as surrogate,FALSE,,FALSE
7440360,,BCF_Bff,0,55,BAF_T3W used as surrogate,FALSE,,FALSE
7440382,,BCF_Bff,4,55,BAF_T3W used as surrogate,FALSE,,FALSE
7440393,,BCF_Bff,130,212,BAF_T3W used as surrogate,FALSE,,FALSE
7440417,,BCF_Bff,19,55,BAF_T3W used as surrogate,FALSE,,FALSE
3380345,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
3380345,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
3380345,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
7429905,,BAF_HerbVert,0.026,124,"Table C.1, general, median",FALSE,,FALSE
7429905,,BAF_OmnVert,0.026,124,"Table C.1, general, median",FALSE,,FALSE
7429905,,BAF_SmBirds,0.026,124,"Table C.1, general, median",FALSE,,FALSE
7429905,,BAF_SmHerp,0.026,124,"Table C.1, general, median",FALSE,,FALSE
7429905,,BAF_SmMammals,0.026,124,"Table C.1, general, median",FALSE,,FALSE
7429905,,BAF_SoilInvert,0,196,No data,FALSE,,FALSE
7429905,,BAF_Worms,0.00688,123,"Table C.1, median, adjust for 84% moisture content to convert from dry to wet wt",FALSE,,FALSE
50328,,BAF_HerbVert,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_OmnVert,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_SmBirds,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_SmHerp,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_SmMammals,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_SoilInvert,1,143,"Default, no data",FALSE,,FALSE
50328,,BAF_Worms,1,143,"Default, no data",FALSE,,FALSE
7440393,58,BMC_soil,330,253,,FALSE,,FALSE
7439965,68,BMC_Soil,4300,256,,FALSE,,FALSE
7439965,67,BMC_soil,4000,256,,FALSE,,FALSE
7439965,58,BMC_soil,450,256,,FALSE,,FALSE
7439965,1,BMC_Soil,220,256,,FALSE,,FALSE
7440417,67,BMC_soil,21,254,,FALSE,,FALSE
7783086,35,BMD,0.8,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,35,BMD,1900,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,35,BMD,6.2,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,35,BMD,110,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,35,BMD,21,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,36,BMD,1.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,36,BMD,27,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,36,BMD,24,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,36,BMD,2.5,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,36,BMD,3.5,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,36,BMD,130,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,36,BMD,1,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,36,BMD,0.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,36,BMD,0.7,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,36,BMD,10,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,36,BMD,0.02,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,36,BMD,12,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,36,BMD,0.04,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,36,BMD,1.9,252,test species: Dog,FALSE,test species: Dog,FALSE
79572,60,BMC_Water,75,101,,FALSE,,FALSE
723466,60,BMC_Water,563,106,,FALSE,,FALSE
148798,60,BMC_Water,0.56,258,,FALSE,,FALSE
1163195,63,BMC_Water,1,131,,FALSE,,FALSE
298464,63,BMC_Water,23.6,104,,FALSE,,FALSE
85721331,63,BMC_Water,0.173,81,,FALSE,,FALSE
564250,63,BMC_Water,0.173,81,,FALSE,,FALSE
114078,63,BMC_Water,0.02,103,,FALSE,,FALSE
7439896,,BAF_HerbVert,0.01,124,"Table 7, general, median",FALSE,,FALSE
7439896,,BAF_OmnVert,0.01,124,"Table 7, general, median",FALSE,,FALSE
7439896,,BAF_SmBirds,0.01,124,"Table 7, general, median",FALSE,,FALSE
7439896,,BAF_SmHerp,0.01,124,"Table 7, general, median",FALSE,,FALSE
7439896,,BAF_SmMammals,0.01,124,"Table 7, general, median",FALSE,,FALSE
7439896,,BAF_SoilInvert,0,196,No data,FALSE,,FALSE
7439896,,BAF_Worms,0.00576,123,"Table C.1, median, adjust for 84% moisture content to convert from dry to wet wt",FALSE,,FALSE
106478,,BAF_HerbVert,1,143,,FALSE,,FALSE
106478,,BAF_OmnVert,1,143,,FALSE,,FALSE
106478,,BAF_SmBirds,1,143,,FALSE,,FALSE
106478,,BAF_SmHerp,1,143,,FALSE,,FALSE
7439896,58,BMC_Soil,200,92,,FALSE,,FALSE
7439921,,BAF_HerbVert,0.105,124,"Table 7, general, median",FALSE,,FALSE
7439921,,BAF_OmnVert,0.105,124,"Table 7, general, median",FALSE,,FALSE
7439921,,BAF_SmBirds,0.105,124,"Table 7, general, median",FALSE,,FALSE
7439921,,BAF_SmHerp,0.105,124,"Table 7, general, median",FALSE,,FALSE
7439921,,BAF_SmMammals,0.105,124,"Table 7, general, median",FALSE,,FALSE
