"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"DynLoadSecNum","NA","Number of the section with the dynamic load","Specific",,,,,,"",,"Fate_constant:System",0,"DynLoadSecNum"
,,,"DynParm","NA","Y= A-marix parameters are time-variable, else N","Specific",,,,,,"",,"Fate_constant:System",0,"DynParm"
,,,"DynPrint","NA","Output concentrations in all sections at one time(V) oroutput concentrations in one sections at various time(T)","Specific",,,,,,"",,"Fate_constant:System",0,"DynPrint"
,,,"DynType","NA","1 for Euler's method, 2 for MacCormick's method, 3 for BTCS method","Specific",,,,,,"",,"Fate_constant:System",0,"DynType"
,,,"effdust","[fraction]","Dust suppression control efficiency (field)","Specific",,,,,,"",,"Fate_constant:Distn",0,"effdust"
,,,"fcult","[count]","Number of cultivations per application","Specific",,,,,,"",,"Fate_constant:Landuse",0,"fcult"
,,,"fd","[1/mo]","Frequency of surface disturbances on field","Specific",,,,,,"",,"Fate_constant:Landuse",0,"fd"
,,,"foc_bs","[fraction]","Fraction organic carbon (bed sediments)","Specific",,,,,,"","U.S. EPA, 1997","Fate_constant:Constant",0,"foc_bedsed"
,,,"foc_soil","[fraction]","Fraction organic carbon (soil)","Specific",,,,,,"","Calculated based on U.S. EPA  EPACMTP, 1997","Fate_constant:Derived",0,"foc_soil"
,,,"foc_sw","[fraction]","Fraction organic carbon (suspended sediments)","Specific",,,,,,"","U.S. EPA, 1997","Fate_constant:Constant",0,"foc_sw"
,,,"focW","[fraction]","Fraction organic carbon (biosolids)","Specific",,,,,,"",,"Fate_constant:Waste",0,"foc_biosolids"
,,,"fwmu","[fraction]","Fraction of biosolids in field","Specific",,,,,,"","Set to 1, assuming that waste is not mixed","Fate_constant:Constant",0,"fwmu"
,,,"Huc_Region","NA","Hydrologic unit","Specific",,,,,,"",,"Fate_constant:Site",0,"Huc_Region"
,,,"Infild","[m/day]","Input infiltration rate for debugging","Specific",,,,,,"",,"Fate_constant:System",0,"Infild"
,,,"K","[kg/m2]","USLE erodability factor (watershed)","Specific",,,,,,"",,"Fate_constant:Soil",0,"K"
,,,"Ksat","[cm/hr]","Saturated hydraulic conductivity","Specific",,,,,,"",,"Fate_constant:Soil",0,"Ksat"
,,,"Kwmu","[kg/m2]","USLE erodibility factor (field)","Specific",,,,,,"",,"Fate_constant:Soil",0,"Kwmu"
"Waterbody",,,"LAUfrac","[fraction]","Fraction of upstream watershed that is the field","0.5",,"Modified for VVWM","Constant",,,"0.5",,"tbl_Model_Parameters:WB",0,"LAUfrac"
,,,"Lc","[dimensionless ratio]","Soil roughness ratio","specific",,,,,,"",,"Fate_constant:Distn",0,"Lc"
,,,"Linear","NA","Y = linear, N = nonlinear","Specific",,,,,,"",,"Fate_constant:System",0,"Linear"
,,,"LS","[empirical]","USLE length-slope factor (watershed)","Specific",,,,,,"","Calculated from length and slope based on Williams and Berndt, 1997","Fate_constant:Derived",0,"LS"
,,,"MAS","NA","Maximum number of adjacent sections","Specific",,,,,,"",,"Fate_constant:System",0,"MAS"
,,,"MetSta","NA","Met station identifier","Specific",,,,,,"",,"Fate_constant:Site",0,"MetSta"
,,,"mt","[m]","Distance vehicle travels on field","Specific",,,,,,"","Set to 0, assuming that no regular vehicular activity occurs on the agricultural field","Fate_constant:Constant",0,"mt"
,,,"N","[fraction]","Saturated volumetric water content (porosity)","Specific",,,,,,"",,"Fate_constant:Soil",0,"N"
,,,"Nappl","[1/yr]","Number of biosolids applications per year","Specific",,,,,,"","U.S. EPA (typical agricultural application frequency)","Fate_constant:Constant",0,"Nappl"
,,,"NB","NA","Number of boundary sections","Specific",,,,,,"",,"Fate_constant:System",0,"NB"
